,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5,TV0170,TV0422,TV0426,TV0437
ASV_157,39,67,106,39,92,75,92,96,78,0,0,1,0,17,36,7,38,26,0,0,0,0
ASV_158,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,471,330,0,0
ASV_159,40,57,153,84,76,133,94,54,89,0,0,0,0,4,3,2,0,15,0,0,0,0
ASV_160,61,130,183,49,83,145,45,72,30,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV_161,24,187,60,33,95,69,19,193,105,0,0,0,0,3,3,3,3,3,0,0,0,0
ASV_162,22,39,57,15,92,86,139,68,89,0,1,3,0,40,46,27,34,30,0,0,0,0
ASV_163,0,0,0,0,0,0,0,0,0,56,131,74,73,0,0,0,0,0,40,17,162,12
ASV_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,154,3,11
ASV_165,0,0,2,0,0,0,0,0,0,161,222,175,219,0,0,0,0,0,0,0,0,0
ASV_166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,765
ASV_167,84,72,103,63,178,167,27,53,15,0,0,0,1,0,1,0,0,1,0,0,0,0
ASV_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,496,151
ASV_169,24,34,170,58,83,86,83,50,13,0,0,0,0,23,34,31,49,23,0,0,0,0
ASV_170,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,1,49,102
ASV_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2
ASV_172,32,38,80,29,63,51,73,32,34,0,0,0,0,36,91,56,68,73,0,0,0,0
ASV_173,7,5,19,19,8,6,4,0,1,0,0,0,0,73,144,226,76,161,0,0,0,0
ASV_174,0,0,0,0,0,0,0,1,0,0,6,1,743,0,0,0,0,1,0,0,0,0
ASV_175,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,24,690
ASV_176,46,73,238,42,37,65,48,89,71,0,0,0,0,8,6,1,3,5,0,0,0,0
ASV_177,0,4,0,0,0,0,5,1,1,27,70,85,64,0,4,1,4,5,13,0,0,0
ASV_178,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,16,654
ASV_179,0,0,0,0,0,0,0,0,0,29,57,33,28,0,0,0,0,0,0,0,572,3
ASV_180,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,271,156
ASV_181,0,0,0,0,0,0,0,0,0,74,118,108,103,0,0,0,0,0,0,0,4,0
ASV_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_183,0,0,0,0,0,0,0,0,0,5,3,2,3,0,0,0,0,0,3,0,39,588
