,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_121,0,0,0,0,0,0,0,0,0,74,120,108,105,0,0,0,0,0
ASV_122,0,0,0,0,0,0,0,0,0,70,125,103,109,0,0,0,0,0
ASV_123,17,32,21,8,53,26,40,39,34,3,3,4,5,16,19,25,35,26
ASV_124,23,37,115,34,33,32,72,25,16,0,0,0,0,3,4,2,4,6
ASV_125,25,17,68,33,55,74,81,14,15,0,0,0,0,1,11,7,4,1
ASV_126,14,4,35,72,17,24,10,1,0,0,1,0,0,13,48,37,39,90
ASV_127,25,21,61,36,8,13,13,7,12,2,5,1,3,18,42,32,45,58
ASV_128,19,42,99,26,37,37,26,55,40,0,0,0,0,1,6,3,3,7
ASV_129,0,0,0,0,0,0,0,0,0,37,51,144,169,0,0,0,0,0
ASV_130,43,34,146,58,9,7,15,14,9,0,0,0,0,23,26,3,5,8
ASV_131,26,36,59,13,55,66,95,31,7,0,0,0,0,2,3,1,3,2
ASV_132,25,7,68,51,9,10,6,0,2,0,0,0,0,34,45,30,51,58
ASV_133,3,1,2,5,1,2,1,0,0,0,0,0,0,33,88,55,83,121
ASV_134,3,13,27,17,9,8,12,3,13,0,0,0,0,31,50,25,77,104
ASV_135,6,12,28,13,33,35,81,54,82,3,2,0,0,4,12,5,13,7
ASV_136,0,0,0,0,0,0,0,1,0,146,121,88,28,0,1,0,0,0
ASV_137,30,26,17,75,2,54,2,1,1,0,0,0,0,9,41,34,25,64
ASV_138,12,25,42,13,45,40,58,56,34,1,1,8,0,7,21,3,10,5
ASV_139,1,13,3,1,2,2,2,7,15,0,0,0,0,81,87,50,27,89
ASV_140,22,28,29,9,36,35,64,74,46,0,0,0,0,3,15,3,8,4
ASV_141,1,2,1,2,0,0,1,0,0,0,0,0,0,21,86,67,129,64
ASV_142,23,62,64,44,12,24,16,11,13,0,0,0,0,7,24,12,27,35
ASV_143,10,18,23,15,61,43,93,42,37,1,3,1,1,6,2,3,10,3
ASV_144,0,0,0,0,0,0,0,0,0,59,137,82,91,0,0,0,0,0
ASV_145,8,47,35,5,15,5,9,100,85,0,0,0,0,11,24,6,8,10
ASV_146,0,1,1,0,0,0,1,0,0,5,348,6,5,0,0,0,0,0
ASV_147,4,16,7,0,1,3,296,6,33,0,0,0,0,0,0,0,0,0
ASV_148,19,14,57,18,28,43,52,21,5,0,0,0,0,9,32,17,32,18
ASV_149,8,15,22,8,19,16,31,12,14,0,0,0,0,14,45,26,84,51
ASV_150,9,8,43,30,19,10,25,11,15,0,0,0,0,26,44,19,55,49
ASV_151,0,0,0,0,0,0,0,0,0,39,256,16,51,0,0,0,0,0
ASV_152,22,49,89,31,32,49,44,18,7,0,0,0,0,4,5,2,5,2
ASV_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0
ASV_154,15,7,4,15,1,18,16,0,0,0,1,0,0,36,63,23,42,112
ASV_155,0,0,0,0,0,0,0,0,0,62,101,174,13,0,0,0,0,0
ASV_156,2,58,11,2,16,14,24,32,182,0,0,0,0,1,0,0,4,0
ASV_157,7,31,40,8,51,39,54,46,18,0,0,0,0,2,15,15,11,6
ASV_158,19,34,51,13,51,42,43,31,22,0,0,0,0,10,4,5,13,4
ASV_159,0,0,0,0,0,0,0,0,0,91,86,91,69,1,0,0,0,0
ASV_160,4,2,6,10,8,11,14,4,11,0,0,0,0,21,64,41,82,54
ASV_161,1,0,2,0,1,4,0,50,261,0,0,0,0,2,4,2,0,1
ASV_162,0,0,0,0,0,0,0,0,0,5,304,9,6,0,0,0,0,0
ASV_163,21,25,53,17,26,47,12,20,21,0,0,0,0,10,21,4,30,15
ASV_164,19,44,55,17,35,36,16,73,24,0,0,0,0,0,0,0,0,1
ASV_165,12,16,21,8,43,33,40,34,12,0,2,0,0,5,22,17,26,23
ASV_166,22,13,68,5,27,58,22,28,12,0,0,0,0,7,19,8,3,20
ASV_167,4,27,32,17,24,45,38,32,22,0,0,0,0,2,14,9,22,18
ASV_168,19,21,42,26,46,46,43,6,3,0,0,0,0,8,8,7,14,13
ASV_169,12,9,24,17,12,8,31,25,9,0,0,0,0,12,44,22,42,35
ASV_170,0,1,1,1,0,0,0,0,0,0,0,0,0,42,64,63,69,60
ASV_171,15,27,32,6,37,42,27,31,48,0,0,0,0,1,7,0,14,12
ASV_172,23,30,89,45,26,14,30,11,10,0,0,0,0,2,4,0,5,10
ASV_173,0,0,1,8,2,1,0,0,2,0,1,0,0,13,53,94,59,64
ASV_174,6,36,19,18,24,20,12,12,22,0,0,0,0,8,30,30,22,32
ASV_175,15,3,26,30,21,29,17,4,2,0,0,0,0,10,22,38,28,46
ASV_176,0,0,0,0,0,0,0,0,0,65,87,67,72,0,0,0,0,0
ASV_177,16,13,33,12,22,14,23,5,5,0,0,0,0,9,41,16,48,33
ASV_178,5,5,9,6,1,4,4,0,0,0,0,0,0,63,48,54,26,63
ASV_179,4,26,14,7,31,61,52,54,33,0,0,0,1,0,1,0,2,1
ASV_180,0,0,0,2,0,0,0,0,0,0,0,0,0,25,58,44,47,110
ASV_181,4,9,30,2,30,39,61,53,36,0,0,0,0,0,2,0,5,9
ASV_182,0,0,0,0,0,0,0,0,1,70,84,60,62,0,0,2,0,1
ASV_183,20,24,50,32,50,70,28,1,0,0,0,0,0,3,0,1,0,0
ASV_184,0,0,0,0,0,0,0,0,0,32,135,45,65,0,1,0,0,0
ASV_185,6,45,32,2,17,43,2,66,62,0,0,0,0,0,0,0,2,0
ASV_186,7,5,17,10,7,9,10,0,0,0,0,0,0,39,43,51,39,37
ASV_187,5,3,4,10,5,4,7,9,2,0,0,0,0,33,45,42,44,60
