,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_654,0,0,0,0,0,0,0,0,0,14,2,32,20,0,0,0,0,0
ASV_655,6,6,6,11,5,11,6,1,2,0,0,0,0,3,2,2,2,4
ASV_656,8,1,2,22,12,11,1,0,0,0,0,0,0,2,0,3,4,1
ASV_657,2,12,3,0,12,2,5,13,12,0,0,0,0,0,0,1,2,3
ASV_658,1,2,2,2,0,1,1,1,0,0,0,0,1,5,11,7,11,22
ASV_659,1,4,10,4,2,5,2,2,0,0,0,0,0,6,6,8,3,14
ASV_660,0,1,2,0,3,3,3,0,2,0,3,2,0,6,4,9,12,17
ASV_661,0,0,0,0,0,0,0,0,0,41,12,4,7,1,0,0,2,0
ASV_662,0,0,0,0,0,0,0,0,0,36,2,21,8,0,0,0,0,0
ASV_663,0,0,0,0,0,0,0,0,0,10,14,25,18,0,0,0,0,0
ASV_664,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0
ASV_665,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,18,22
ASV_666,7,10,5,4,2,6,1,0,0,0,0,0,0,1,6,3,17,4
ASV_667,3,1,2,29,4,10,10,3,1,1,0,0,2,0,0,0,0,0
ASV_668,4,3,0,5,3,4,3,0,0,0,0,0,0,6,9,7,9,13
ASV_669,0,2,7,1,0,1,0,0,0,0,0,0,0,8,9,9,18,11
ASV_670,0,4,0,0,0,0,1,28,31,0,0,0,0,0,0,2,0,0
ASV_671,0,0,0,0,0,0,0,0,0,12,18,19,17,0,0,0,0,0
ASV_672,0,0,0,0,0,0,0,0,0,11,17,26,12,0,0,0,0,0
ASV_673,0,0,0,0,0,0,0,0,0,0,61,5,0,0,0,0,0,0
ASV_674,6,3,5,5,2,2,1,0,0,0,0,0,0,8,12,5,6,10
ASV_675,0,0,0,0,2,1,2,3,1,0,0,0,0,7,8,15,8,18
ASV_676,0,0,0,0,0,0,0,1,0,15,27,7,12,0,0,1,2,0
ASV_677,0,0,0,0,0,0,0,0,0,19,24,9,13,0,0,0,0,0
ASV_678,0,0,0,0,0,0,0,0,0,6,11,35,13,0,0,0,0,0
ASV_679,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,3,1,12
ASV_680,2,2,4,0,3,3,14,5,7,0,1,0,0,4,4,2,7,6
ASV_681,1,1,4,5,3,4,5,0,0,0,0,0,0,7,7,8,6,13
ASV_682,2,5,3,4,10,7,4,4,1,0,0,0,0,3,4,8,3,6
ASV_683,3,0,4,1,3,2,2,3,4,0,0,0,0,7,13,3,10,9
ASV_684,2,7,16,11,1,15,2,1,1,0,0,0,0,2,2,0,1,3
ASV_685,3,5,2,7,1,0,1,0,2,0,0,0,0,3,10,5,14,11
ASV_686,0,1,0,2,2,5,2,0,0,0,0,0,0,6,15,13,14,4
ASV_687,0,1,0,0,0,0,0,17,46,0,0,0,0,0,0,0,0,0
ASV_688,0,0,0,2,0,1,1,0,0,0,0,0,0,9,16,13,5,17
ASV_689,0,0,2,0,0,0,0,4,1,0,0,0,0,11,13,19,1,13
ASV_690,0,0,0,0,0,0,0,0,12,0,0,0,0,14,9,6,20,3
ASV_691,0,0,0,0,0,0,0,0,0,1,22,8,29,0,0,3,0,1
ASV_692,0,0,0,0,0,0,0,0,0,13,22,14,15,0,0,0,0,0
ASV_693,0,0,0,0,0,0,0,0,0,7,11,39,7,0,0,0,0,0
ASV_694,0,0,0,0,0,0,0,0,0,0,0,51,13,0,0,0,0,0
ASV_695,1,0,0,0,0,1,0,0,1,1,3,5,51,0,0,0,0,0
ASV_696,7,3,15,2,6,6,3,4,7,0,0,0,0,0,7,0,1,2
ASV_697,1,0,2,1,0,1,0,0,0,0,0,0,0,6,13,16,15,8
ASV_698,2,0,1,0,2,2,2,1,0,0,0,0,0,6,6,15,18,8
ASV_699,1,3,12,0,4,8,4,1,2,0,0,0,0,3,8,4,9,4
ASV_700,1,2,0,1,0,1,3,0,0,0,4,8,0,5,14,1,5,18
ASV_701,0,28,3,1,1,2,4,5,16,0,0,0,0,0,0,0,2,1
ASV_702,0,0,4,0,0,3,1,0,0,0,0,0,0,10,10,17,8,10
ASV_703,0,0,0,2,0,0,0,0,1,0,0,0,0,1,5,19,21,14
ASV_704,0,0,0,0,0,0,0,0,0,7,19,20,17,0,0,0,0,0
ASV_705,0,0,0,0,0,0,0,0,0,9,17,24,13,0,0,0,0,0
ASV_706,0,0,0,0,0,0,0,0,0,19,17,13,14,0,0,0,0,0
ASV_707,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,9,18,14
ASV_708,5,9,6,8,7,3,4,2,0,0,0,0,0,3,6,1,6,2
ASV_709,5,6,3,1,8,7,11,4,7,0,0,0,0,4,2,2,2,0
ASV_710,1,3,7,4,4,12,9,2,5,0,0,0,0,3,3,2,2,5
ASV_711,0,1,1,6,2,0,7,1,1,2,4,1,5,1,8,8,4,10
ASV_712,0,0,0,4,1,0,0,0,0,0,0,0,0,11,15,5,21,5
ASV_713,0,0,0,1,0,1,1,0,0,0,0,0,0,8,12,9,18,12
ASV_714,0,0,0,0,0,0,0,0,0,10,21,17,14,0,0,0,0,0
ASV_715,0,0,0,0,0,0,0,0,0,15,11,19,17,0,0,0,0,0
ASV_716,0,0,0,0,0,0,0,0,0,13,13,21,15,0,0,0,0,0
ASV_717,0,0,0,0,0,0,0,0,0,0,21,31,10,0,0,0,0,0
ASV_718,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,7,9,15
ASV_719,1,8,22,1,8,3,8,4,6,0,0,0,0,0,0,0,0,0
ASV_720,1,2,3,8,3,1,3,2,0,0,0,0,0,7,5,8,5,13
ASV_721,3,2,4,13,0,1,0,0,0,0,0,0,0,2,8,15,7,6
ASV_722,1,4,5,4,8,5,5,7,6,0,0,0,0,4,3,1,7,1
ASV_723,0,24,4,1,4,1,4,4,18,0,0,0,0,0,0,1,0,0
ASV_724,0,0,0,0,0,0,0,0,0,17,19,11,14,0,0,0,0,0
ASV_725,0,0,0,0,0,0,0,0,0,10,15,22,14,0,0,0,0,0
ASV_726,1,3,2,0,0,2,0,0,0,0,0,0,0,2,15,3,13,19
ASV_727,3,1,0,0,7,10,12,17,9,0,0,0,0,0,0,0,1,0
ASV_728,1,1,1,0,2,7,2,0,0,0,0,0,0,5,5,11,11,14
ASV_729,2,1,4,1,3,3,1,0,0,0,0,0,0,7,6,7,16,9
ASV_730,0,1,0,2,1,0,4,0,0,0,0,0,0,5,9,15,15,8
ASV_731,0,2,1,4,0,3,1,0,0,0,0,0,0,9,14,6,3,17
ASV_732,0,0,0,0,0,0,0,0,0,4,17,13,22,0,0,0,4,0
ASV_733,0,0,0,0,0,0,0,0,0,27,18,3,11,0,1,0,0,0
ASV_734,0,0,0,0,0,0,0,0,0,15,18,16,11,0,0,0,0,0
ASV_735,0,0,0,0,0,0,0,0,0,9,11,26,14,0,0,0,0,0
ASV_736,0,0,0,0,0,0,0,0,0,0,55,3,2,0,0,0,0,0
ASV_737,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,2,4,15
ASV_738,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,5,6,9
ASV_739,2,6,14,2,0,3,3,5,0,0,0,0,0,3,8,4,4,5
ASV_740,0,4,4,5,7,3,2,1,1,0,0,0,0,4,4,3,12,9
ASV_741,0,6,13,1,3,5,10,9,11,0,0,0,0,0,0,0,0,1
ASV_742,0,0,0,0,9,3,22,10,14,1,0,0,0,0,0,0,0,0
ASV_743,0,0,0,0,0,0,0,0,0,19,4,33,3,0,0,0,0,0
ASV_744,0,0,0,0,0,0,0,0,0,23,15,6,15,0,0,0,0,0
ASV_745,0,0,0,0,0,0,0,0,0,10,19,17,13,0,0,0,0,0
ASV_746,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,22,9,13
ASV_747,5,3,4,28,6,8,4,0,0,0,0,0,0,0,0,0,0,0
ASV_748,1,1,4,1,1,2,7,1,0,0,0,0,0,3,4,15,16,2
ASV_749,2,3,1,3,3,5,1,0,0,0,0,0,0,4,10,12,6,8
ASV_750,3,6,3,6,6,6,10,4,0,0,0,0,0,2,7,0,2,3
ASV_751,1,1,0,4,2,0,0,0,0,0,0,0,0,2,12,9,10,17
ASV_752,2,3,1,1,3,1,5,8,1,0,0,0,0,0,7,2,20,4
ASV_753,1,0,1,3,2,2,6,0,0,0,0,0,0,5,9,9,10,10
ASV_754,2,1,0,1,5,5,3,5,1,0,1,0,0,5,4,9,6,10
ASV_755,1,1,5,0,0,0,0,0,0,0,0,0,0,8,7,6,15,15
ASV_756,0,1,0,0,0,1,2,0,0,0,0,0,0,8,6,17,9,14
ASV_757,0,2,0,0,0,0,1,13,42,0,0,0,0,0,0,0,0,0
ASV_758,0,5,16,7,2,5,9,5,5,0,0,0,0,1,3,0,0,0
ASV_759,0,0,0,0,0,0,0,0,0,10,8,12,28,0,0,0,0,0
ASV_760,0,0,0,0,0,0,0,0,0,18,15,14,11,0,0,0,0,0
ASV_761,0,0,0,0,0,0,0,0,0,13,19,20,6,0,0,0,0,0
ASV_762,0,0,0,0,0,0,0,0,0,18,13,13,14,0,0,0,0,0
ASV_763,0,0,0,0,0,0,0,0,0,6,29,16,7,0,0,0,0,0
ASV_764,2,1,1,2,1,1,1,0,0,0,0,0,0,8,12,7,19,2
ASV_765,2,4,5,17,7,5,5,2,1,0,1,0,0,0,1,0,1,6
ASV_766,6,3,13,12,0,7,0,0,0,0,0,0,0,2,1,3,4,6
ASV_767,1,1,3,15,3,4,14,2,3,0,0,0,0,1,0,4,3,3
ASV_768,0,5,4,0,7,2,8,8,2,0,0,0,0,0,7,3,4,7
ASV_769,0,0,0,0,0,0,0,0,2,0,0,0,0,14,8,10,4,19
ASV_770,0,0,0,0,0,0,0,0,0,15,17,12,13,0,0,0,0,0
ASV_771,0,0,0,0,0,0,0,0,0,13,12,23,9,0,0,0,0,0
ASV_772,0,0,0,0,0,0,0,0,0,3,29,25,0,0,0,0,0,0
ASV_773,0,0,0,0,0,0,0,0,0,21,9,15,12,0,0,0,0,0
ASV_774,0,0,0,0,0,0,0,0,0,11,14,16,15,1,0,0,0,0
ASV_775,0,0,0,0,0,0,0,0,0,20,5,15,17,0,0,0,0,0
ASV_776,0,0,0,0,0,0,0,0,0,5,21,19,12,0,0,0,0,0
ASV_777,0,0,0,0,0,0,0,0,0,14,17,17,9,0,0,0,0,0
ASV_778,2,1,4,7,2,2,5,0,0,0,0,0,0,0,6,7,7,13
ASV_779,3,6,4,2,12,10,4,12,2,0,0,0,0,0,1,0,0,0
ASV_780,7,8,7,7,4,5,3,1,3,0,0,0,0,0,2,0,0,9
ASV_781,2,9,1,0,4,4,6,17,10,0,0,0,0,0,0,0,2,1
ASV_782,3,1,6,6,2,2,1,1,0,0,0,0,0,6,6,1,11,10
ASV_783,0,1,0,2,0,0,0,0,1,0,0,0,0,0,3,14,16,19
ASV_784,0,4,10,2,12,12,13,0,1,0,0,0,0,0,2,0,0,0
ASV_785,0,0,0,0,1,0,1,0,0,0,0,0,0,7,4,1,16,26
ASV_786,0,0,0,0,0,0,0,0,0,20,5,21,10,0,0,0,0,0
ASV_787,0,0,0,0,0,0,0,0,0,3,3,23,27,0,0,0,0,0
ASV_788,0,0,0,0,0,0,0,0,0,5,11,29,10,0,1,0,0,0
ASV_789,0,0,0,0,0,0,0,0,0,14,17,15,10,0,0,0,0,0
ASV_790,0,0,0,0,0,0,0,0,0,6,16,23,11,0,0,0,0,0
ASV_791,0,0,0,0,0,0,0,0,0,3,21,17,15,0,0,0,0,0
ASV_792,2,9,10,3,4,8,5,11,2,0,0,0,0,0,1,0,0,0
ASV_793,5,11,10,5,4,10,7,0,0,0,0,0,0,2,0,1,0,0
ASV_794,1,0,0,4,0,0,0,0,0,0,0,0,0,2,11,12,12,13
ASV_795,7,4,13,8,1,11,3,6,1,0,0,0,0,0,0,0,1,0
ASV_796,3,7,19,11,4,2,2,3,3,0,0,0,0,0,0,0,1,0
ASV_797,1,0,0,3,0,1,0,0,0,0,0,0,0,4,6,3,27,10
ASV_798,2,6,13,2,5,3,6,11,6,0,0,0,0,0,0,0,1,0
ASV_799,0,4,12,4,11,6,6,4,3,0,0,0,0,0,1,0,2,2
ASV_800,0,7,2,0,10,2,2,7,23,0,0,0,0,1,0,0,1,0
ASV_801,0,0,0,1,0,1,1,0,1,0,0,0,0,3,10,11,13,14
ASV_802,0,0,0,0,0,0,0,0,0,14,14,15,12,0,0,0,0,0
ASV_803,0,0,0,0,0,0,0,0,0,18,19,10,8,0,0,0,0,0
ASV_804,0,0,0,0,0,0,0,0,0,2,7,8,38,0,0,0,0,0
ASV_805,0,0,0,0,0,0,0,0,0,5,10,31,9,0,0,0,0,0
ASV_806,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,2,0
ASV_807,13,18,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ASV_808,3,0,2,7,6,2,5,0,1,0,0,0,0,6,7,4,6,5
ASV_809,1,5,5,0,1,2,0,19,21,0,0,0,0,0,0,0,0,0
ASV_810,4,2,10,14,3,6,3,0,6,0,0,0,0,4,0,0,1,1
ASV_811,1,2,12,4,4,4,8,5,5,0,0,0,0,1,3,0,5,0
ASV_812,1,6,3,2,11,4,12,11,4,0,0,0,0,0,0,0,0,0
ASV_813,2,0,7,0,0,12,11,3,4,0,0,0,1,0,1,4,5,4
ASV_814,7,3,6,6,2,12,1,0,0,0,0,0,0,1,5,0,11,0
ASV_815,2,2,1,1,2,2,6,1,1,0,0,1,0,2,10,5,10,8
ASV_816,1,2,0,1,0,1,0,1,0,0,0,0,0,6,5,9,6,22
ASV_817,2,15,2,3,4,11,2,4,11,0,0,0,0,0,0,0,0,0
ASV_818,2,4,1,1,0,2,0,0,3,0,0,0,0,9,10,4,15,3
ASV_819,0,5,3,0,1,0,1,0,0,0,0,0,0,10,10,8,5,11
ASV_820,0,1,0,2,1,2,0,0,0,0,0,0,0,10,8,4,12,14
ASV_821,0,0,3,1,1,0,2,0,0,0,0,0,0,2,14,2,17,12
ASV_822,0,0,0,0,0,0,0,0,0,7,11,19,17,0,0,0,0,0
ASV_823,0,0,0,0,0,0,0,0,0,15,19,11,7,1,1,0,0,0
ASV_824,0,0,0,0,0,0,0,0,0,20,12,17,5,0,0,0,0,0
ASV_825,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,15,14,9
ASV_826,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,18,4,28
ASV_827,2,2,4,0,2,3,2,7,31,0,0,0,0,0,0,0,0,0
ASV_828,1,0,4,9,1,7,1,0,0,0,0,0,0,3,5,3,8,11
ASV_829,4,1,7,1,0,2,1,0,0,0,0,0,0,4,12,5,8,8
ASV_830,5,1,8,9,0,2,1,0,2,0,0,0,0,3,5,2,7,8
ASV_831,2,6,9,11,3,6,1,1,1,0,0,1,0,1,3,1,3,4
ASV_832,0,0,0,0,1,0,0,0,0,0,5,41,6,0,0,0,0,0
ASV_833,0,0,3,1,0,1,1,2,2,0,0,0,0,5,10,9,9,10
ASV_834,0,0,0,0,0,0,0,0,0,12,20,13,8,0,0,0,0,0
ASV_835,0,0,0,0,0,0,0,0,0,2,12,36,3,0,0,0,0,0
ASV_836,0,0,0,0,0,0,0,0,0,17,10,10,11,0,3,2,0,0
ASV_837,0,0,0,0,0,0,0,0,0,17,14,15,7,0,0,0,0,0
ASV_838,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,13,9,13
ASV_839,5,6,8,4,5,7,6,4,2,0,0,0,0,0,2,0,3,0
ASV_840,1,0,1,4,0,0,1,0,0,0,0,0,1,1,11,5,17,10
ASV_841,1,0,0,3,0,0,0,0,0,0,0,0,1,4,6,14,12,11
ASV_842,2,1,3,3,1,2,0,0,1,0,0,0,0,1,1,10,17,10
ASV_843,1,1,1,2,1,0,1,0,0,0,0,0,0,14,6,8,8,9
ASV_844,2,3,1,6,5,3,5,0,1,0,0,0,0,2,7,5,3,9
ASV_845,1,12,4,1,5,8,3,10,5,0,0,0,0,0,1,1,0,1
ASV_846,3,1,8,2,5,3,2,2,2,0,0,1,0,0,5,7,8,3
ASV_847,2,7,6,0,3,3,3,9,0,0,2,0,0,2,5,3,4,3
ASV_848,1,0,6,3,0,1,0,1,0,0,0,0,0,4,16,1,9,10
ASV_849,5,12,11,3,4,5,1,1,7,0,0,0,0,0,2,1,0,0
ASV_850,3,1,2,5,1,0,6,1,1,0,0,0,0,4,6,8,3,11
ASV_851,3,2,1,15,0,1,0,0,0,0,0,0,0,1,12,0,8,9
ASV_852,0,1,0,1,2,1,0,11,0,0,2,0,3,8,10,3,8,2
ASV_853,0,1,4,2,3,5,0,1,0,0,0,0,0,10,8,8,8,2
ASV_854,0,0,0,0,0,0,0,0,0,1,3,4,43,0,1,0,0,0
ASV_855,0,0,0,0,0,0,0,0,0,20,11,8,13,0,0,0,0,0
ASV_856,0,0,0,0,0,0,0,0,0,15,20,9,8,0,0,0,0,0
ASV_857,0,0,0,0,0,0,0,0,0,16,14,13,8,0,1,0,0,0
ASV_858,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,47,1,0
ASV_859,7,1,5,5,3,6,12,1,1,0,0,0,0,0,0,4,5,1
ASV_860,3,0,12,3,1,4,3,0,0,0,0,0,0,4,9,5,6,1
ASV_861,2,0,4,28,2,3,3,1,1,0,0,1,0,0,1,1,1,3
ASV_862,1,4,7,7,5,4,12,5,2,0,0,0,0,1,1,0,2,0
ASV_863,1,0,0,6,0,3,0,0,0,0,0,0,0,1,18,0,5,17
ASV_864,6,14,9,5,0,0,6,0,2,0,1,1,0,4,0,0,2,1
ASV_865,3,5,7,12,5,8,7,2,2,0,0,0,0,0,0,0,0,0
ASV_866,0,1,0,0,0,1,0,0,0,2,15,11,21,0,0,0,0,0
ASV_867,0,2,0,0,0,0,1,0,1,0,0,1,0,7,9,8,7,15
ASV_868,0,5,5,0,0,2,0,10,28,0,0,0,0,0,1,0,0,0
ASV_869,0,0,0,0,0,0,0,0,0,14,13,15,9,0,0,0,0,0
ASV_870,0,0,0,0,0,0,0,0,0,5,13,19,14,0,0,0,0,0
ASV_871,0,0,0,0,0,0,0,0,0,14,18,10,8,0,0,1,0,0
ASV_872,0,0,0,0,0,0,0,0,0,19,17,9,6,0,0,0,0,0
ASV_873,0,0,0,0,0,0,0,0,0,13,12,17,9,0,0,0,0,0
ASV_874,0,0,0,0,0,0,0,0,0,6,17,16,12,0,0,0,0,0
ASV_875,0,0,0,0,0,0,0,0,0,0,13,29,9,0,0,0,0,0
ASV_876,1,11,2,1,3,7,4,9,12,0,0,0,0,0,0,0,0,0
ASV_877,2,3,0,0,1,1,2,5,2,0,0,0,0,3,12,8,7,4
ASV_878,1,5,0,0,3,1,1,16,23,0,0,0,0,0,0,0,0,0
ASV_879,1,1,0,5,5,1,6,1,0,0,0,0,0,2,5,4,11,8
ASV_880,1,0,2,1,2,4,6,0,0,0,0,0,0,1,6,19,1,7
ASV_881,2,1,0,4,2,1,2,0,0,0,0,0,0,3,9,1,13,12
ASV_882,2,3,3,3,0,5,2,2,1,0,0,0,0,2,11,5,4,7
ASV_883,0,2,1,2,0,3,0,0,0,0,0,0,0,3,3,7,21,8
ASV_884,0,0,3,1,6,5,7,12,14,0,0,0,0,0,0,2,0,0
ASV_885,0,0,0,0,0,0,0,0,0,4,30,11,5,0,0,0,0,0
ASV_886,0,0,0,0,0,0,0,0,0,5,16,10,19,0,0,0,0,0
ASV_887,0,0,0,0,0,0,0,0,0,4,18,21,7,0,0,0,0,0
ASV_888,0,0,0,0,0,0,0,0,0,6,27,6,11,0,0,0,0,0
ASV_889,0,0,0,0,0,0,0,0,0,14,18,10,8,0,0,0,0,0
ASV_890,0,0,0,0,0,0,0,0,0,14,18,11,7,0,0,0,0,0
ASV_891,0,0,0,0,0,0,0,0,0,0,4,32,14,0,0,0,0,0
ASV_892,3,0,0,9,1,3,0,0,0,0,0,0,0,3,4,9,11,6
ASV_893,1,8,2,0,1,0,0,16,20,0,0,0,1,0,0,0,0,0
ASV_894,1,0,0,3,0,0,0,0,0,0,0,0,0,6,12,7,3,17
ASV_895,1,0,5,0,2,1,0,0,0,0,0,0,0,5,4,18,5,8
ASV_896,2,0,0,3,0,0,0,0,0,0,1,0,2,2,4,15,12,8
ASV_897,4,0,7,5,1,5,8,2,0,0,1,0,0,3,0,1,5,7
ASV_898,4,2,1,26,1,5,1,1,3,0,0,0,0,2,0,0,0,3
ASV_899,4,2,7,0,0,1,6,1,4,7,9,3,5,0,0,0,0,0
ASV_900,0,4,0,1,4,4,10,11,10,0,2,1,0,0,0,1,0,1
ASV_901,0,0,0,0,0,0,1,0,0,4,8,17,9,3,4,1,1,1
ASV_902,0,0,0,0,0,0,0,0,0,3,17,18,11,0,0,0,0,0
ASV_903,0,0,0,0,0,0,0,0,0,9,4,21,15,0,0,0,0,0
ASV_904,0,0,0,0,0,0,0,0,0,3,5,34,7,0,0,0,0,0
ASV_905,0,0,0,0,0,0,0,0,0,13,14,8,8,0,0,1,4,1
ASV_906,1,0,0,0,3,2,0,0,0,0,0,1,2,3,7,11,7,11
ASV_907,1,4,3,3,4,2,6,15,7,0,0,0,0,0,1,0,2,0
ASV_908,1,0,3,4,1,1,0,0,0,0,0,1,1,2,11,6,10,7
ASV_909,1,1,6,0,0,1,0,1,0,0,1,0,0,6,8,4,12,7
ASV_910,2,4,0,5,3,1,0,4,6,0,0,0,0,3,3,9,3,5
ASV_911,0,5,5,0,5,4,14,8,7,0,0,0,0,0,0,0,0,0
ASV_912,0,1,1,1,0,2,0,2,0,0,0,0,0,2,7,9,12,11
ASV_913,0,1,4,7,1,2,1,4,9,0,0,1,0,1,4,0,6,7
ASV_914,0,1,5,6,3,2,3,4,3,0,0,0,0,2,5,6,3,5
ASV_915,0,0,1,0,0,0,0,0,0,6,15,13,12,0,0,1,0,0
ASV_916,0,0,0,0,0,0,0,0,0,31,9,6,2,0,0,0,0,0
ASV_917,0,0,0,0,0,0,0,0,0,13,10,14,10,0,1,0,0,0
ASV_918,1,0,0,0,0,1,5,5,2,0,0,0,0,1,10,5,10,7
ASV_919,2,10,16,7,1,5,2,2,0,0,0,0,0,2,0,0,0,0
ASV_920,2,4,1,3,7,2,2,0,0,0,0,0,0,4,4,3,5,10
ASV_921,1,12,0,1,3,1,0,12,11,0,0,0,0,4,2,0,0,0
ASV_922,2,1,0,1,8,7,15,3,7,0,0,0,0,0,0,0,2,1
ASV_923,2,0,1,4,2,3,11,4,14,0,1,0,0,0,0,0,0,5
ASV_924,6,1,3,6,3,4,1,2,1,0,0,2,1,2,4,1,8,2
ASV_925,3,1,3,4,5,7,9,1,1,0,0,0,0,0,3,3,5,2
ASV_926,1,1,2,1,1,2,0,0,3,0,0,0,0,7,5,8,14,2
ASV_927,1,6,2,4,1,1,6,1,2,0,2,1,1,2,5,6,3,3
ASV_928,3,2,3,0,5,8,3,11,11,0,0,0,0,0,0,0,0,1
ASV_929,0,6,1,3,3,3,2,4,16,0,0,0,0,2,2,0,0,5
ASV_930,0,2,1,1,0,2,0,1,0,0,0,0,0,10,5,12,6,7
ASV_931,0,9,7,2,6,8,1,11,1,0,0,0,0,0,0,0,1,1
ASV_932,0,1,1,2,1,5,2,1,0,0,0,1,0,7,7,7,10,2
ASV_933,0,0,3,2,2,3,4,0,0,0,0,0,0,11,8,4,5,5
ASV_934,0,0,0,1,1,0,0,0,0,0,0,0,0,2,6,15,13,9
ASV_935,0,0,2,3,2,1,0,0,0,0,0,0,0,7,7,4,13,8
ASV_936,0,0,0,0,0,0,1,6,31,0,0,0,0,4,1,2,0,2
ASV_937,0,0,1,3,0,0,0,0,0,0,0,0,0,1,11,13,13,5
ASV_938,0,0,0,0,0,0,0,0,0,11,13,15,8,0,0,0,0,0
ASV_939,0,0,0,0,0,0,0,0,0,14,2,19,6,2,2,0,1,1
ASV_940,0,0,0,0,0,0,0,0,0,8,12,19,8,0,0,0,0,0
ASV_941,0,0,0,0,0,0,0,0,0,10,14,13,10,0,0,0,0,0
ASV_942,0,0,0,0,0,0,0,0,0,3,9,31,4,0,0,0,0,0
ASV_943,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,7,0,6
ASV_944,3,3,1,1,3,6,26,0,3,0,0,0,0,0,0,0,0,0
ASV_945,1,5,2,6,10,1,0,0,3,0,0,0,0,0,5,4,4,5
ASV_946,1,0,0,1,0,0,0,0,0,0,0,0,0,5,9,3,20,7
ASV_947,0,5,0,0,0,1,1,16,22,0,0,1,0,0,0,0,0,0
ASV_948,0,6,3,0,2,2,0,27,6,0,0,0,0,0,0,0,0,0
ASV_949,0,1,0,0,1,1,0,0,4,0,0,0,0,6,11,6,10,6
ASV_950,0,0,1,0,0,1,0,0,0,0,0,0,0,3,12,6,14,9
ASV_951,0,0,0,0,0,0,0,0,1,8,21,6,9,0,0,1,0,0
ASV_952,0,0,0,0,0,0,0,0,0,12,8,12,11,0,2,1,0,0
ASV_953,0,0,0,0,0,0,0,0,0,6,19,14,7,0,0,0,0,0
ASV_954,0,0,0,0,0,0,0,0,0,0,2,42,2,0,0,0,0,0
ASV_955,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
ASV_956,2,7,4,3,4,2,3,6,7,0,0,0,0,1,0,1,1,4
ASV_957,2,5,1,3,1,0,2,0,0,0,2,1,2,2,4,5,7,8
ASV_958,3,2,15,5,2,7,1,1,0,0,0,0,0,0,5,3,0,1
ASV_959,3,2,2,9,4,4,5,0,0,0,0,0,0,2,6,1,5,2
ASV_960,4,1,7,11,0,2,5,0,0,0,0,0,0,0,3,6,3,3
ASV_961,1,3,2,0,1,0,1,16,21,0,0,0,0,0,0,0,0,0
ASV_962,1,2,0,1,7,2,10,5,10,1,0,0,0,1,1,0,4,0
ASV_963,2,3,1,11,0,1,1,1,0,1,1,1,1,3,6,2,5,5
ASV_964,1,1,2,0,1,2,0,0,0,0,0,0,0,8,3,5,20,2
ASV_965,1,3,3,1,0,3,7,13,12,0,0,0,0,0,2,0,0,0
ASV_966,4,3,0,8,0,0,2,1,0,0,0,0,0,6,5,4,1,11
ASV_967,2,6,8,1,9,7,3,2,4,0,0,0,0,0,0,0,1,2
ASV_968,0,8,3,0,6,6,9,9,4,0,0,0,0,0,0,0,0,0
ASV_969,0,1,0,7,2,3,2,0,0,0,0,0,0,0,8,5,3,14
ASV_970,0,3,0,0,1,1,0,0,3,0,0,0,0,13,5,7,3,9
ASV_971,0,1,0,0,0,0,0,0,0,0,0,0,0,9,6,4,14,11
ASV_972,0,0,0,0,2,0,0,0,1,0,0,0,0,2,7,4,20,9
ASV_973,0,0,3,9,0,2,1,0,0,0,0,0,0,2,7,8,5,8
ASV_974,0,0,2,0,0,1,0,0,0,1,0,3,0,8,8,11,3,8
ASV_975,0,0,0,1,0,2,0,0,0,0,5,0,8,1,3,7,8,10
ASV_976,0,0,1,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0
ASV_977,0,0,0,1,0,0,0,0,0,4,12,17,9,0,1,1,0,0
ASV_978,0,0,0,0,0,0,0,0,0,13,1,15,16,0,0,0,0,0
ASV_979,0,0,0,0,0,0,0,0,0,9,17,10,9,0,0,0,0,0
ASV_980,0,0,0,0,0,0,0,0,0,4,17,9,15,0,0,0,0,0
ASV_981,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,10,10
ASV_982,5,2,7,0,6,19,4,1,0,0,0,0,0,0,0,0,0,0
ASV_983,1,1,5,5,0,3,2,2,0,0,0,0,0,5,5,4,5,6
ASV_984,1,5,5,1,2,3,4,9,6,0,0,0,0,0,3,0,2,3
