,Kingdom,Phylum,Class,Order,Family,Genus,,,,,
ASV_2290,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_2492,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_2498,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_2580,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_2683,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_2687,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,NA,,,,,
ASV_2777,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_2850,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_2884,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,NA,,,,,
ASV_2964,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,NA,,,,,
ASV_3159,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,,,,,
ASV_3180,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_3306,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_540,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,,,,,
ASV_562,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_1812,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,,,,,
ASV_873,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,,,,,
ASV_939,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,,,,,
ASV_1114,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_1307,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_1313,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_1320,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_141,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_1466,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_1475,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_1727,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_1943,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_2010,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_2059,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_2207,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_2348,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_2568,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_2634,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovorax,,,,,
ASV_2833,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_2880,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_3011,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_304,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_3095,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_3119,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_3245,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_752,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_831,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_907,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,,,,,
ASV_930,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_984,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,NA,,,,,
ASV_1208,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,ML635J-40_aquatic_group,NA,,,,,
ASV_1400,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_1552,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_1656,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,,,,,
ASV_1792,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_2015,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,NA,,,,,
ASV_2506,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,NA,,,,,
ASV_2986,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,NA,,,,,
ASV_3034,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13,,,,,
ASV_3233,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,,,,,
ASV_3304,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,NA,,,,,
ASV_362,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_459,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,,,,,
ASV_547,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,Alkaliflexus,,,,,
ASV_854,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_88,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_965,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA,,,,,
ASV_1205,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA,,,,,
ASV_2468,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA,,,,,
ASV_2488,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA,,,,,
ASV_2587,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA,,,,,
ASV_449,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA,,,,,
ASV_911,Bacteria,Bacteroidota,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA,,,,,
ASV_2533,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,F1-37X2,,,,,
ASV_132,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,,,,,
ASV_137,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,,,,,
ASV_232,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,,,,,
ASV_594,Bacteria,Proteobacteria,Gammaproteobacteria,BD7-8,NA,NA,,,,,
ASV_1022,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1113,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1244,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1343,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1462,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1583,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1674,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1675,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1734,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1837,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
ASV_1895,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,,,
